Species	NH13	NH16	NH17	NH23	NH25	NH30	NH34	NH36	NH46	NH5	NH50	NH53	NH61	NH65	NH69	NH71	NH73	NH75	NH76	NH77	RH1	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH2	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH3	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH39	RH4	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH5	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH6	RH63	RH64	RH7	RH8	RH9	T1	T10	T101AF	T102AF	T103AF	T104AF	T11	T12	T13	T13AF	T14	T15	T15AF	T16	T17	T18	T19	T2	T20	T21	T22	T23	T24	T24AF	T25	T26	T26AF	T27	T27AF	T28	T29	T29AF	T3	T30	T31	T32	T33	T34	T34AF	T35	T36	T37	T37AF	T38	T38AF	T39	T3AF	T4	T40	T40AF	T41	T42	T42AF	T43AF	T43be	T44be	T45AF	T45be	T46be	T47be	T48be	T49AF	T49be	T4AF	T5	T50AF	T50be	T51be	T53be	T54be	T55be	T56AF	T56be	T57AF	T57be	T58AF	T58be	T59AF	T59be	T6	T60be	T61AF	T61be	T62be	T63be	T64be	T65AF	T65be	T66be	T67be	T68be	T69AF	T69be	T7	T70be	T71AF	T71be	T72be	T73be	T74AF	T75AF	T77AF	T77be	T78AF	T79AF	T8	T80be	T81be	T82be	T83be	T85be	T86be	T87be	T88be	T89be	T9	T90be	T91be	T92be	T93be	T94be	T95be	T96be	T97be	T98be	T99be
Shigella_sp._FC2045	26.189	13.156	7.102	2.277	4.792	5.831	1.63	NA	15.635	20.483	5.114	1.99	359.236	3.461	1.645	NA	14.463	NA	289.428	1.825	18.793	2.012	1.377	156.162	1.235	12.095	7.44	3.053	457.237	34.423	NA	NA	NA	1325.373	4.603	NA	1.584	7.702	2.912	24.971	61.215	76.222	188.308	37.68	19.734	14.185	7.997	1.777	8.452	5.322	2.488	199.916	8.912	16.427	37.202	1.947	6.424	2.574	NA	1.468	1.22	79.275	1.404	2.875	40.949	2.003	1.557	142.755	3.061	NA	NA	NA	NA	NA	NA	474.701	3.719	9.26	3.091	3.59	NA	14.796	10.501	NA	103.678	NA	10.089	6.665	10.266	6.137	NA	NA	4.7	2.365	NA	4.284	4.293	15.476	NA	5.274	15.337	26.393	4.225	2.286	3.404	3.219	5.577	2.808	1.796	1.88	NA	4.169	NA	16.372	7.26	3.294	13.3	2.262	3.527	89.016	5.321	172.677	82.143	23.305	4.661	2.953	2.477	21.886	NA	NA	210.508	1.626	1.794	2.974	3.291	16.188	30.083	2.314	NA	NA	13.634	NA	3.193	265.211	5.422	8.521	122.71	237.428	5.918	1.46	59.661	103.843	5.885	391.517	177.753	14.431	2.232	NA	6.066	639.083	1.453	2.899	17.022	8.628	12.078	1.612	1.883	28.56	8.708	1.773	12.057	19.598	90.033	15.951	8.116	72.883	36.072	1.816	527.863	2.698	NA	8.902	135.669	14.307	NA	716.277	4.431	NA	NA	13.011	1.323	15.803	2.202	65.501	17.135	3.208	9.097	7.438	5.022	1031.252	NA	1.537	NA	14.794	14.793
Shigella_sp._FC2928	23.642	11.398	7.048	2.254	4.695	5.585	1.612	NA	15.489	20.299	5.066	1.921	351.008	3.331	1.628	NA	14.222	NA	283.478	1.81	17.845	1.964	1.289	152.379	1.23	11.526	7.275	3.013	437.741	32.177	NA	NA	NA	1300.634	4.47	NA	1.557	7.618	2.837	23.91	57.366	73.074	177.867	35.701	19.677	14.033	7.932	1.767	7.953	5.187	2.443	191.517	8.879	15.751	36.617	1.917	6.103	2.493	NA	1.434	1.153	76.879	1.295	2.818	40.568	1.964	1.501	140.424	3.019	NA	NA	NA	NA	NA	NA	428.943	3.353	8.901	2.997	3.499	NA	13.943	10.243	NA	101.731	NA	9.216	6.501	10.109	5.946	NA	NA	4.517	2.359	NA	4.254	4.119	14.068	NA	5.206	14.208	25.923	4.122	2.244	3.364	3.141	5.473	2.73	1.726	1.787	NA	3.871	NA	16.02	6.793	3.265	12.625	2.023	3.17	85.917	5.281	160.116	81.821	23.153	4.593	2.94	2.411	19.813	NA	NA	205.414	1.568	1.724	2.918	3.198	15.528	28.455	2.305	NA	NA	13.375	NA	3.137	241.507	5.344	7.784	120.023	223.805	5.746	1.437	58.765	101.975	5.773	386.779	172.511	13.541	2.163	NA	5.979	631.613	1.395	2.797	16.43	7.989	11.702	1.556	1.868	26.768	8.325	1.746	11.785	18.675	89.017	15.557	7.855	69.244	35.125	1.771	501.896	2.544	NA	8.75	135.205	13.426	NA	717.356	4.285	NA	NA	12.431	1.284	15.589	2.065	64.054	15.994	3.15	8.665	7.012	4.594	990.954	NA	1.506	NA	13.488	14.654
Shigella_sp._PAMC_28760	36.58	21.014	10.972	4.175	8.015	11.112	3.833	3.744	20.341	29.173	8.009	5.021	437.061	5.731	3.736	3.958	20.253	3.237	343.998	4.702	24.07	5.034	3.866	182.765	3.099	20.48	12.899	6.285	527.386	42.789	5.192	4.449	3.225	1699.671	8.455	3.498	4.047	11.266	7.639	37.752	83.507	108.499	240.346	52.246	25.029	19.773	11.155	7.306	14.678	7.521	4.671	229.237	13.226	19.3	48.165	3.922	9.888	4.222	NA	4.65	2.467	95.262	2.896	5.558	55.384	7.323	4.39	180.905	5.567	2.371	3.685	NA	2.475	3.846	2.922	666.474	8.015	13.319	8.1	7.807	3.92	20.616	15.604	4.518	128.143	3.72	15.455	11.615	15.811	11.041	4.639	4.135	9.699	7.88	3.439	7.863	9.934	25.13	2.582	10.15	21.343	36.801	8.516	5.622	6.695	7.63	10.096	6.931	5.409	5.817	4.317	8.138	4.458	20.935	12.984	7.003	21.693	7.119	8.504	118.919	9.051	236.996	98.184	29.738	9.042	9.189	7.069	31.433	3.676	4.325	265.087	5.193	4.636	5.815	6.759	24.225	43.661	4.877	2.953	3.55	31.41	4.275	7.21	377.237	10.581	12.705	161.23	323.727	11.531	5.007	80.726	149.598	10.655	488.256	211.331	22.88	6.061	5.292	11.817	781.592	5.259	7.266	26.993	14.617	20.028	4.557	6.227	39.691	15.624	5.821	17.588	27.747	108.784	24.862	15.002	101.952	45.983	5.73	708.092	6.219	4.379	13.754	172.637	22.639	4.363	932.104	9.454	5.095	4.761	19.95	4.213	23.764	5.569	88.95	21.943	6.637	14.896	14.627	10.167	1342.556	3.787	4.352	4.654	25.444	20.933
Shuttleworthia_sp._MSX8B	10.141	4.75	6.73	3.19	5.312	15.243	6.702	11.056	8.189	7.066	7.185	5.981	5.192	7.8	5.712	7.491	5.55	11.571	3.398	6.195	5.593	6.814	6.354	13.428	6.007	11.456	7.254	11.845	6.964	6.556	19.625	10.435	11.264	2.803	8.148	7.69	14.377	6.31	11.792	14.27	16.462	6.723	9.251	8.654	7.849	11.578	5.64	14.915	12.935	4.485	10.943	10.247	7.219	4.547	6.071	5.034	15.452	7.274	4.061	7.81	1.815	4.508	4.692	5.18	20.401	22.266	8.84	9.271	3.028	6.568	6.225	5.824	9.238	8.927	7.524	12.852	11.543	11.569	13.532	3.759	8.661	5.934	16.825	8.51	14.147	6.071	5.129	4.674	13.292	5.996	10.085	16.075	15.001	7.607	10.271	8.806	9.097	7.685	9.543	9.522	8.097	7.236	7.619	8.366	7.789	10.746	8.695	13.708	7.716	6.713	9.9	4.307	8.056	9.709	10.011	7.633	11.439	9.155	10.11	6.987	5.097	7.882	5.538	8.292	4.675	13.271	7.142	7.384	8.007	4.898	7.782	17.075	8.047	6.194	7.413	6.122	8.271	6.833	8.864	6.831	11.895	7.618	8.519	6.545	8.171	4.181	8.997	15.198	7.931	9.116	14.981	10.352	12.695	7.654	13.293	11.383	7.149	9.235	7.52	7.659	10.544	6.205	13.797	8.273	18.045	6.532	7.984	10.234	10.561	14.901	7.416	8.719	5.303	16.035	6.986	6.038	9.322	15.255	8.142	3.663	7.033	7.689	6.169	12.084	5.171	15.749	12.273	10.976	12.546	8.271	10	7.554	7.44	7.069	4.397	12.934	9.393	9.428	12.304	4.99	12.522	10.119	11.326	8.425	10.714
Sinorhizobium_sp._GL28	NA	NA	8.55	6.151	NA	NA	3.196	2.487	2.705	1.361	NA	NA	9.481	1.282	NA	NA	2.064	NA	NA	4.414	NA	1.445	NA	1.554	1.264	12.612	NA	NA	12.259	NA	NA	5.948	6.12	NA	1.338	NA	NA	NA	1.848	10.95	NA	24.923	NA	NA	NA	NA	NA	NA	4.806	NA	NA	NA	5.984	NA	1.55	NA	NA	NA	3.203	NA	5.892	NA	NA	2.414	3.645	NA	NA	NA	15.277	NA	NA	NA	NA	NA	1.439	NA	NA	NA	NA	11.98	3.684	1.755	NA	5.262	6.63	10.798	2.728	5.891	8.86	12.842	1.568	NA	7.877	10.137	1.951	4.096	8.611	3.604	1.365	3.944	12.171	6.802	2.187	NA	NA	NA	5.168	9.327	4.546	7.198	2.004	1.95	17.922	NA	NA	11.039	NA	1.858	8.098	NA	12.016	1.817	1.646	NA	16.56	NA	21.301	2.062	12.36	15.021	5.34	20.973	NA	NA	1.669	8.074	7.281	3.282	7.552	1.542	19.98	12.391	12.396	NA	7.036	2.238	3.035	NA	NA	5.864	NA	NA	4.251	4.131	NA	4.283	NA	2.333	13.129	NA	7.39	11.829	1.641	NA	NA	10.147	NA	NA	NA	NA	NA	NA	7.618	NA	27.372	8.369	2.265	NA	1.993	12.4	9.464	8.37	3.456	NA	20.124	NA	NA	NA	NA	NA	4.842	2.324	2.028	NA	9.508	NA	1.756	6.261	12.558	NA	NA	NA	14.479	NA	14.485
Solobacterium_moorei	27.104	5.148	NA	8.984	NA	14.334	13.461	8.926	NA	NA	23.91	NA	8.473	8.594	11.668	12.713	11.945	11.347	5.164	12.723	12.689	5.489	7.385	5.702	7.789	6.248	10.403	16.625	9.481	7.748	13.775	6.569	12.007	2.099	22.759	9.254	5.919	8.041	10.343	22.147	NA	3.791	NA	10.731	4.248	12.321	8.577	6.844	19.176	5.14	15.547	NA	12.262	18.69	9.894	7.382	NA	7.711	6.361	11.436	10.812	6.662	6.28	5.324	11.087	14.861	6.027	10.042	2.229	2.14	8.372	5.051	11.27	16.445	4.708	11.699	10.828	6.999	19.184	4.501	10.604	20.549	NA	26.759	20.136	5.253	6.649	6.41	17.271	13.953	10.108	10.657	15.943	NA	7.219	24.436	NA	7.515	16.891	NA	9.455	4.412	NA	NA	NA	NA	24.954	35.945	8.99	7.252	10.64	2.447	10.689	NA	NA	NA	26.212	NA	NA	NA	7.861	15.654	6.727	13.646	6.362	12.336	4.256	18.121	NA	9.77	NA	18.042	18.218	15.838	13.818	14.16	NA	22.569	28.03	NA	NA	9.936	9.595	NA	NA	11.696	10.7	NA	NA	10.659	NA	6.362	NA	17.316	15.205	17.022	26.967	17.48	7.509	23.116	NA	23.5	NA	NA	14.611	8.348	19.626	6.578	NA	10.878	NA	26.829	17.308	NA	7.247	20.069	19.147	NA	4.838	7.248	9.212	13.543	3.407	7.009	3.755	NA	12.695	NA	NA	NA	NA	NA	8.696	25.65	6.028	8.411	14.603	20.98	15.536	6.593	NA	22.524	31.075	NA	13.455
Sphaerochaeta_sp._Phil3	NA	NA	NA	NA	NA	NA	1.769	NA	NA	NA	NA	2.145	NA	NA	NA	NA	NA	NA	NA	NA	2.444	NA	NA	NA	1.448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.131	1.55	NA	NA	NA	NA	NA	NA	1.683	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.56	NA	NA	NA	NA	NA	NA	NA	NA	1.943	NA	NA	NA	NA	NA	2.266	NA	NA	2.128	NA	NA	1.911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17	NA	NA	1.842	NA	NA	NA	NA	NA	NA	2.679	1.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.927	NA	2.011	NA	NA	NA	NA	NA	2.25	2.198	NA	2.013	NA	2.109	1.603	NA	NA	NA	1.758	NA	2.501	NA	NA	NA	NA	1.874	1.336	NA	NA	3.447	NA	NA	1.896	NA	NA	NA	NA	1.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.385	NA	NA	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.003	3.215	NA	NA	2.363	NA	4.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingobium_hydrophobicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas_sp._Ant_H11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.592	5.282	NA	NA	NA	NA	3.113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.983	NA	NA	NA	NA	NA
Stomatobaculum_longum	29.996	24.919	32.802	21.178	29.695	67.442	28.883	36.554	37.894	29.501	40.121	28.904	27.319	35.069	30.571	35.954	41.407	49.824	20.662	28.283	23.894	32.911	24.285	53.912	24.985	55.129	40.05	44.049	28.844	23.054	93.988	45.336	41.587	14.835	41.044	33.683	43.694	32.038	52.521	82.485	78.509	30.942	39.811	43.39	32.152	54.464	29.227	64.066	55.986	21.343	23.086	49.15	32.717	22.236	33.034	23.429	30.301	33.846	19.856	38.913	14.293	26.253	17.529	25.39	80.888	105.124	40.568	46.14	13.339	20.839	26.827	25.396	44.722	43.896	33.779	62.386	57.295	45.634	63.022	20.295	43.506	27.046	71.855	42.691	49.319	27.162	23.533	27.161	64.098	29.29	53.166	73.811	52.071	37.08	47.588	41.574	44.066	38.711	39.768	47.795	41.426	32.254	34.628	49.176	42.036	54.533	44.866	72.555	39.054	33.216	43.956	19.057	35.368	46.713	50.669	31.578	56.115	40.326	46.569	36.87	24.39	39.069	29.624	46.328	23.812	67.564	32.911	40.361	40.751	30.145	35.503	69.625	40.481	36.26	37.855	27.62	40.137	38.47	41.768	37.613	56.615	37.062	40.158	24.78	38.711	20.907	45.913	65.016	46.27	41.779	63.751	43.473	56.959	39.126	58.768	54.119	52.818	46.918	31.629	39.34	57.322	33.317	68.422	50.339	83.54	32.724	49.958	43.538	56.783	71.562	40.737	46.435	31.772	77.707	34.31	41.818	45.774	66.333	34.56	17.195	33.945	39.06	29.687	54.916	24.418	69.492	53.318	55.182	61.841	40.3	41.257	39.947	38.819	42.416	22.467	53.486	45.028	47.713	66.573	23.318	58.843	48.393	56.505	45.261	50.155
Streptococcus_anginosus	31.749	8.669	42.957	5.129	12.271	15.463	8.781	12.776	45.208	11.247	10.152	14.091	15.924	7.485	7.849	11.278	7.822	49.549	8.931	6.959	7.351	9.093	7.695	24.999	7.373	17.02	10.21	10.411	9.632	6.715	35.842	21.575	10.502	4.518	10.622	9.401	9.201	8.796	15.679	18.732	21.29	10.509	23.756	11.871	10.327	18.4	9.461	19.917	16.922	5.747	6.352	17.233	9.272	5.507	8.827	6.537	10.894	6.234	5.59	11.092	6.332	9.521	3.803	7.22	21.511	22.951	10.599	12.42	5.658	6.797	6.924	6.351	9.475	11.924	8.022	15.015	13.124	10.349	19.279	10.074	12.01	8.84	21	15.769	15.074	9.278	10.94	13.121	15.306	10.704	14.423	17.741	14.952	21.055	12.67	12.85	13.097	13.737	10.798	16.282	11.718	13.14	17.276	15.261	12.045	13.664	13.877	17.249	10.612	10.062	11.699	9.079	13.315	12.529	16.818	14.469	344.855	40.733	14.041	11.282	8.095	16.871	12.529	12.469	9.378	33.211	11.073	12.366	13.924	8.724	13.688	13.424	13.548	10.034	10.038	9.844	14.467	10.098	9.695	11.838	91.439	11.673	12.084	10.922	21.504	10.267	15.674	15.916	15.446	13.233	21.242	17.079	14.247	12.897	54.031	14.872	13.927	12.903	10.024	11.173	15.013	12.765	23.545	13.943	31.634	9.828	14.436	14.34	17.217	15.555	12.026	11.859	10.197	16.812	11.694	16.047	13.32	15.539	9.481	7.607	9.853	12.476	10.437	12.886	9.475	19.607	38.448	15.207	16.324	22.403	13.138	17.516	10.4	14.321	7.611	13.228	18.649	16.502	14.583	11.349	13.144	10.876	13.404	14.85	14.488
Streptococcus_australis	73.317	9.432	81.618	5.525	13.671	19.245	9.963	17.178	50.564	12.944	11.9	14.529	27.047	8.623	8.904	13.427	8.818	65.045	8.649	9.309	8.043	10.273	8.583	35.444	8.211	19.659	11.398	11.63	11.147	7.478	38.643	17.416	12.195	5.217	11.595	10.371	10.749	9.421	17.829	20.313	28.22	11.814	30.36	13.794	11.844	19.393	9.714	25.46	20.568	6.353	7.601	32.753	10.15	5.871	9.518	7.174	9.605	7.25	5.987	12.042	4.068	10.856	4.467	8.047	24.317	27.316	12.089	14.276	6.193	7.641	7.902	7.238	12.183	13.284	9.648	16.877	15.166	12.441	21.437	9.573	14.666	9.355	28.126	17.904	16.995	11.894	10.193	14.059	18.701	11.337	16.115	21.01	16.19	24.631	14.534	13.854	15.132	15.962	12.06	18.831	12.815	14.452	17.073	19.953	13.542	15.235	16.698	19.345	12.724	12.003	15.826	9.027	18.318	14.629	19.818	22.362	195.122	37.466	15.065	12.523	8.789	14.917	14.068	13.821	11.146	34.847	16.284	14.192	15.475	9.566	24.776	15.779	13.822	10.677	11.027	10.876	15.88	10.936	10.696	12.936	101.103	11.245	15.542	12.912	21.922	13.102	19.613	18.812	17.432	14.575	32.897	17.182	16.075	14.828	34.331	15.337	14.779	14.055	10.776	12.398	16.725	13.894	27.159	15.52	31.762	10.808	16.21	16.947	18.755	18.038	13.303	13.096	11.991	18.674	12.971	17.902	15.331	17.198	10.988	8.241	11.343	15.449	12.123	15.333	10.532	24.683	29.641	16.963	18.263	20.046	14.409	15.028	12.173	15.809	8.402	14.583	41.868	20.552	17.42	17.817	16.055	12.073	14.898	16.961	16.631
Streptococcus_azizii	9.181	NA	9.607	2.351	4.176	5.801	3.438	6.136	10.668	7.409	5.815	4.561	4.763	7.803	4.056	4.796	5.607	13.889	3.063	3.459	3.383	3.322	2.879	10.69	3.493	7.353	5.312	5.408	5.066	2.997	15.607	6.308	6.726	2.063	5.128	4.313	5.782	2.883	6.281	21.621	11.513	3.617	10.186	4.351	3.373	7.665	3.436	8.094	6.746	2.92	6.436	10.32	4.617	2.057	3.65	3.942	20.02	10.325	2.375	5.583	2.616	3.217	NA	2.89	7.439	10.656	4.597	4.315	2.259	3.054	2.743	5.306	7.319	6.592	3.738	8.422	12.186	6.305	8.156	2.926	6.225	3.66	9.55	6.087	6.936	3.636	3.503	4.065	6.303	4.127	6.72	9.699	7.353	5.893	5.909	6.081	5.108	6.867	6.873	6.811	6.262	4.144	5.954	6.955	5.059	5.825	5.277	9.213	5	4.326	6.879	3.316	4.946	6.648	5.46	5.587	31.256	9.625	5.599	5.856	3.541	7.045	3.969	5.748	3.202	11.058	3.872	5.779	5.558	4.919	5.683	13.325	6.282	5.265	4.581	4.434	7.05	4.905	5.001	7.834	20.147	5.103	4.907	4.641	6.796	3.823	5.774	7.56	5.703	5.831	10.958	6.495	7.507	6.153	12.137	6.699	5.969	5.548	4.157	5.867	6.608	4.44	11.752	5.474	12.647	4.202	5.517	6.841	7.977	8.22	5.202	5.466	4.197	8.925	4.362	5.302	6.509	9.45	5.495	NA	4.892	5.767	3.94	5.488	3.291	8.745	10.8	7.086	5.819	6.998	4.806	5.827	4.434	5.749	3.915	7.349	7.195	6.212	9.037	4.592	6.793	4.945	5.129	5.887	6.017
Streptococcus_entericus	10.88	NA	10.326	NA	3.192	4.207	NA	3.066	8.074	3.299	3.551	5.026	4.667	NA	NA	2.957	NA	18.549	3.248	4.073	2.652	NA	NA	6.446	NA	NA	NA	NA	4.017	2.61	10.946	12.689	2.956	NA	3.382	NA	NA	NA	4.573	6.036	5.151	3.174	5.877	3.187	NA	5.489	2.991	5.572	5.082	2.433	3.068	21.452	3.105	NA	NA	NA	6.164	NA	NA	NA	13.32	2.477	NA	NA	5.427	6.081	NA	3.271	NA	2.62	NA	NA	3.86	3.602	NA	4.396	3.885	NA	5.463	3.689	NA	3.995	5.822	3.995	4.159	2.951	5.349	3.991	8.839	3.906	NA	4.633	4.349	10.446	3.596	4.062	4.341	4.159	3.011	4.726	3.609	4.24	7.452	4.368	3.391	NA	3.71	4.91	3.053	NA	3.25	3.983	3.951	3.998	5.469	3.938	30.886	10.025	4.527	4.387	2.603	7.531	3.972	3.499	2.846	12.615	NA	3.773	3.678	NA	4.433	7.168	4.953	3.566	NA	3.299	5.185	3.05	NA	NA	17.629	NA	3.439	3.821	4.366	3.173	4.295	4.161	4.43	4.069	6.58	4.465	4.35	4.787	34.667	5.516	4.128	4.411	2.938	3.888	6.081	4.419	9.998	4.372	11.844	NA	3.795	5.011	5.334	4.057	3.579	3.601	NA	5.183	4.971	5.974	3.935	4.175	NA	NA	NA	3.479	NA	4.356	NA	5.382	34.155	4.17	5.149	6.032	4.231	3.401	NA	3.891	NA	4.117	5.314	4.739	4.623	3.204	3.796	NA	NA	4.141	3.64
Streptococcus_gallolyticus	42.306	11.932	40.284	6.999	13.872	22.009	12.703	17.512	43.656	15.774	14.311	17.473	20.631	10.746	11.03	15.698	10.816	60.66	11.086	9.739	10.447	12.907	10.691	36.384	10.417	23.812	14.46	14.98	13.643	9.6	159.159	21.196	14.945	6.672	14.864	13.264	13.364	12.113	21.965	25.248	28.697	14.588	101.623	16.751	14.565	23.997	12.432	27.913	23.321	8.057	9.102	22.849	13.135	7.549	12.261	9.287	11.232	9.025	7.494	15.459	5.284	16.668	5.316	10.199	30.71	33.307	15.162	17.8	7.793	9.138	9.622	9.027	13.138	16.937	11.666	21.472	18.7	15.08	26.715	11.918	17.082	12.139	33.745	22.516	21.185	12.544	13.082	17.982	22.009	14.341	20.448	25.777	20.496	25.728	17.891	18.067	18.36	18.121	15.495	23.827	16.567	17.668	20.344	20.861	16.836	19.181	18.508	24.573	14.851	14.099	16.528	11.64	18.113	17.929	21.875	17.839	139.042	44.84	18.845	15.657	11.331	19.284	16.484	17.108	12.593	42.026	15.338	17.618	20.128	12.287	17.843	19.458	17.246	13.64	13.859	13.647	22.685	14.236	13.619	16.621	108.655	14.245	16.847	15.351	20.91	12.463	21.584	22.748	20.995	18.626	29.349	23.202	20.066	17.211	42.673	19.29	19.075	17.985	13.667	16.056	21.122	17.713	33.241	19.408	40.252	13.803	20.015	19.016	23.27	22.475	16.639	16.643	14.422	23.202	15.253	23.239	18.605	22.014	13.732	10.528	14.089	17.332	14.997	18.863	12.895	27.981	30.339	21.788	22.389	25.54	18.66	18.534	14.41	20.305	10.486	18.216	62.723	22.543	20.825	14.843	19.342	15.438	20.38	21.176	20.081
Streptococcus_gordonii	34.946	8.689	42.562	5.167	11.154	16.321	8.884	14.241	40.476	11.598	10.347	13.108	17.013	7.761	8.019	11.442	7.907	52.791	8.501	7.463	7.417	9.413	7.666	26.642	7.461	17.48	10.361	10.754	10.288	6.873	34.78	16.13	10.653	4.752	10.785	9.577	9.677	8.759	16.049	18.274	21.328	10.897	24.471	12.15	10.626	17.644	9.112	20.834	17.234	5.91	6.619	21.842	9.482	5.508	8.886	6.711	8.42	6.556	5.464	11.151	3.893	9.856	3.936	7.388	22.323	24.17	10.905	12.959	5.959	6.717	7.102	6.476	9.511	11.976	8.395	15.383	13.569	10.787	19.579	9.068	12.889	8.706	21.656	16.16	15.373	9.58	9.854	13.655	16.46	10.492	14.64	18.265	14.919	19.031	13.417	12.774	13.497	13.753	10.975	16.806	11.964	13.174	15.759	15.726	12.301	14.125	14.151	17.697	11.213	10.745	12.346	8.486	13.959	12.943	16.782	15.089	154.282	35.039	13.911	11.558	8.103	13.519	12.432	12.741	9.543	31.25	12.54	12.799	14.001	8.91	15.055	14.425	12.404	9.765	10.122	9.927	14.599	10.242	10.107	12.106	87.362	10.601	12.713	10.843	17.32	9.882	15.735	16.82	15.276	13.734	22.439	14.944	14.625	12.708	33.295	14.196	14.078	13.019	10.142	11.765	15.198	13.381	22.974	14.158	29.052	10.186	14.592	14.169	17.019	16.483	12.139	11.872	10.613	17.099	11.636	14.97	13.759	16.152	10.011	7.719	10.366	12.928	11.167	13.938	9.657	19.498	24.093	15.139	16.603	18.104	13.406	14.175	10.761	14.471	7.697	13.373	19.739	17.591	14.98	11.93	14.246	11.236	13.959	15.221	14.664
